ons_id,name,region_name,electorate,result,leave,turnout,votes_cast,var1,var2,var3,var4,var5,var6,var7,var8,var9
E06000001,Hartlepool,North East,70341,leave,69.6,65.6,46134,48.8,23.9,49.5,15.9,17.6,495.2,30.5,25.6,13
E06000002,Middlesbrough,North East,94612,leave,65.5,64.9,61393,48.5,25,66.1,42.6,18.5,467.6,64.9,22.6,13.3
E06000003,Redcar and Cleveland,North East,103529,leave,66.2,70.3,72741,16.8,22.3,25,64,18.9,505.5,18.6,23.8,13.2
E06000004,Stockton-on-Tees,North East,141486,leave,61.7,71,100460,24.4,25.2,58.3,17.2,22.8,502.5,45.3,20.5,15.9
E06000005,Darlington,North East,77662,leave,56.2,71.1,55195,23.8,24.6,55.6,50.5,23.7,484,29.9,21.7,15.2
E06000006,Halton,North West,95289,leave,57.4,68.3,65047,19.9,25.4,30.2,47.7,17.6,484.7,46.1,21,11.9
E06000007,Warrington,North West,157042,leave,54.3,73.4,115205,4.6,26,35.4,27.5,27.4,545.6,33.7,15.5,18.1
E06000008,Blackburn with Darwen,North West,100117,leave,56.3,65.3,65408,21.2,26.8,6.5,31.8,19.8,413,51.6,18.2,14
E06000009,Blackpool,North West,102354,leave,67.5,65.4,66959,43.9,23.3,45.9,15.2,15.5,392.4,46.6,24.4,10.3
E06000010,Hull,Yorkshire and The Humber,180230,leave,67.6,62.9,113436,60.9,28.2,7.7,31,15.2,445.9,31.4,26.9,10.5
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,266047,leave,60.4,74.8,199036,33,20.7,31.4,25.7,25.9,501.1,58.5,19.2,16.3
E06000012,North East Lincolnshire,Yorkshire and The Humber,116302,leave,69.9,67.9,79011,7.9,24.3,4.3,33.7,16.2,448.7,20.8,26.1,10.4
E06000013,North Lincolnshire,Yorkshire and The Humber,123611,leave,66.3,71.9,88906,50.9,23.7,35.9,57.5,19.5,539.4,23.9,25.6,12.2
E06000014,York,Yorkshire and The Humber,155157,remain,42,70.7,109681,20.3,25.9,10.9,28.1,32.4,496,66.4,15.6,20.1
E06000015,Derby,East Midlands,171246,leave,57.2,70.5,120772,52.2,27,65.6,54.5,24.2,518.4,42.4,20.6,16.4
E06000016,Leicester,East Midlands,213819,remain,48.9,65.2,139307,41.3,29.1,34.8,45,21.2,421.8,52.9,16.1,14.3
E06000017,Rutland,East Midlands,29390,leave,50.6,78.2,22984,21.8,20.9,66.6,17.6,32.9,558.7,4.7,15.6,17.8
E06000018,Nottingham,East Midlands,195394,leave,50.8,61.8,120791,19.2,27.5,38,44.2,21.9,435,29.9,20.4,15.8
E06000019,Herefordshire,West Midlands,138247,leave,59.2,78.4,108336,40,22.4,24.4,37.9,27.5,459,22.2,22.6,14.5
E06000020,Telford and Wrekin,West Midlands,124338,leave,63.2,72.2,89704,60,25.5,18.1,27,20.9,464.4,30.5,25.4,13.9
E06000021,Stoke-on-Trent,West Midlands,179010,leave,69.4,65.7,117674,47.6,26.4,54.2,46.4,15.5,433.1,18,27.3,10.5
E06000022,Bath and North East Somerset,South West and Gibraltar,136522,remain,42.1,77.1,105300,24.7,23,25.7,21.6,33.4,522.3,59.1,15.1,22
E06000023,Bristol,South West and Gibraltar,312465,remain,38.3,73.2,228646,49,32.1,37.5,55.6,32.8,508,17.2,16.5,22.6
E06000024,North Somerset,South West and Gibraltar,160860,leave,52.2,77.5,124622,15,22.6,3.5,13.5,28.4,551.8,7.9,16.8,17.2
E06000025,South Gloucestershire,South West and Gibraltar,207793,leave,52.7,76.2,158427,22.2,25.6,32.4,39.1,26.7,540.5,51.7,15.6,17.3
E06000026,Plymouth,South West and Gibraltar,186989,leave,59.9,71.4,133523,46,25.5,5,14.7,21.5,485.8,26.6,22.3,13.8
E06000027,Torbay,South West and Gibraltar,102961,leave,63.2,73.7,75868,33.1,20.5,59.3,27.9,20.6,421.6,5.8,22.1,12.3
E06000028,Bournemouth,South West and Gibraltar,132752,leave,54.9,69.3,91997,45.8,28.8,43.6,55.8,26.4,481.3,38.5,15.3,16.4
E06000029,Poole,South West and Gibraltar,113421,leave,58.2,75.4,85493,25.3,24.5,63.1,24.3,25.5,500.2,29.3,16.4,16.5
E06000030,Swindon,South West and Gibraltar,148960,leave,54.7,75.9,113060,56.1,28.5,13.4,10.3,22.7,546.9,27.1,18.3,15.6
E06000031,Peterborough,East of England,120892,leave,60.9,72.4,87469,62.6,29.6,29.8,18.4,20.2,460.6,44.3,19.3,13.2
E06000032,Luton,East of England,127612,leave,56.5,66.3,84616,13.8,31.1,48.3,53.1,22.3,495.1,29.4,12.4,13.5
E06000033,Southend-on-Sea,East of England,128856,leave,58.1,72.9,93939,46,26.3,46.9,4.6,21.8,541.2,25.7,16.8,16.1
E06000034,Thurrock,East of England,109897,leave,72.3,72.8,79950,29,29.2,41.9,46.5,17.4,563.7,48,15.6,11.3
E06000035,Medway,South East,192524,leave,64.1,72.2,138973,43.7,26.8,13.1,57.1,19.1,553.7,53.4,18.1,12.9
E06000036,Bracknell Forest,South East,85298,leave,53.9,76.1,64922,63.3,28.9,52.7,60.8,30.3,586.4,15.5,11.9,18.7
E06000037,West Berkshire,South East,116757,remain,48.2,80,93345,17.8,24.5,64.3,65.2,32.1,599.8,12.7,14.9,20.2
E06000038,Reading,South East,103172,remain,42,72.5,74826,24.7,32.7,25.6,32.6,34.8,566.6,35.3,14.2,24.5
E06000039,Slough,South East,87873,leave,54.3,62.1,54598,35.3,33.8,16.9,15.2,25.8,540.2,25.9,9.9,15.6
E06000040,Windsor and Maidenhead,South East,102665,remain,46.1,79.7,81855,27.2,26.5,56.5,21.4,38.4,694.5,36.4,8.8,22.2
E06000041,Wokingham,South East,121891,remain,43.3,80,97551,26.6,25.7,27.5,23.9,40,679.2,40.2,9.1,25.7
E06000042,Milton Keynes,South East,177211,leave,51.4,73.7,130534,52.2,30.4,21.6,64.9,28.2,533.6,32.1,14.7,18.2
E06000043,Brighton and Hove,South East,198293,remain,31.4,74.1,146829,20.6,31.2,5.2,49.9,36.9,546.6,46.6,10.7,22.7
E06000044,Portsmouth,South East,140517,leave,58.1,70.3,98786,49.4,28.2,45.8,33,23.7,513.7,38,16.9,15.8
E06000045,Southampton,South East,158171,leave,53.8,68.1,107775,53.2,29.5,36.2,37.7,24.6,502.9,11.3,17.4,17.1
E06000046,Isle of Wight,South East,109844,leave,61.9,72.3,79430,22.2,19.8,12.7,51.4,22.6,479.1,17,24.5,14.6
E06000047,Durham,North East,389507,leave,57.5,68.7,267546,54.2,23.2,6.8,55,21.5,480.7,3.4,23.4,14.5
E06000049,Cheshire East,North West,285957,leave,51.2,77.4,221229,40.9,22.6,48.3,6,32,536.6,42.4,16.7,19.6
E06000050,Cheshire West and Chester,North West,259878,leave,50.7,74.5,193633,64.6,23.4,45.6,66,29.4,527.8,3.5,17.4,18.1
E06000051,Shropshire,West Midlands,236788,leave,56.9,77.4,183323,66.3,21.9,51.2,55.4,27.5,491.8,56.6,22.1,15.9
E06000052,Cornwall,South West and Gibraltar,419755,leave,56.5,77.1,323442,6.5,21.1,68.4,10.8,25,443.2,7.4,25.2,13.8
E06000053,Isles of Scilly,South West and Gibraltar,1799,remain,43.6,79.2,1424,33.4,23.3,23.7,5.2,33,,56.9,15.5,9.2
E06000054,Wiltshire,South West and Gibraltar,366555,leave,52.5,78.9,289102,61,23.4,54.4,6.7,29.5,518,30.9,18.6,16.7
E06000055,Bedford,East of England,119530,leave,51.8,72.1,86135,20.8,26.1,44.3,16.8,28.1,553.2,61,15.1,18.1
E06000056,Central Bedfordshire,East of England,204004,leave,56.1,77.9,158894,17.4,26.6,54.9,67.4,27.3,574.8,34.1,14.9,16.8
